month_year,total_units(KWh)
2019-01-01,199722489.0
2019-02-01,196282917.0
2019-03-01,229630601.0
2019-04-01,307610021.0
2019-05-01,378333246.0
2019-06-01,386806926.0
2019-07-01,318453165.0
2019-08-01,303440777.0
2019-09-01,299577754.0
2019-10-01,302758063.0
2019-11-01,287854703.0
2019-12-01,249393096.0
2020-01-01,226911059.0
2020-02-01,233987135.0
2020-03-01,249055256.0
2020-04-01,311844901.0
2020-05-01,378972626.0
2020-06-01,371104608.0
2020-07-01,362331096.0
2020-08-01,376818006.5
2020-09-01,349757651.6
2020-10-01,342309639.0
2020-11-01,317955772.0
2020-12-01,269855118.0
2021-01-01,243155839.6
2021-02-01,253523091.0
2021-03-01,263214583.0
2021-04-01,339192666.0
2021-05-01,405477414.0
2021-06-01,2158077.0
2021-07-01,368050250.0
2021-08-01,384068332.0
2021-09-01,361304647.0
2021-10-01,350300159.0
2021-11-01,326220132.17
2021-12-01,284013708.0
2022-01-01,243976433.0
2022-02-01,236413333.11
2022-03-01,260031223.0
2022-04-01,371437583.28
2022-05-01,424833878.1
2022-06-01,443537503.0
2022-07-01,376807680.32
2022-08-01,322593689.64
2022-09-01,351653428.59
2022-10-01,332648965.59
2022-11-01,294138231.0
2022-12-01,249154006.57
2023-01-01,259018866.16
2023-02-01,255718830.0
2023-03-01,262851784.0
2023-04-01,341098867.0
2023-05-01,373179111.0
2023-06-01,468056532.0
2023-07-01,414786578.0
2023-08-01,340837857.0
2023-09-01,380861584.0
2023-10-01,348924442.0
2023-11-01,346219332.0
2023-12-01,295555199.0
2024-01-01,240950774.0
2024-02-01,288656864.0
2024-03-01,296623052.0
2024-04-01,389765964.0
2024-05-01,467155674.0
2024-06-01,276370652.0
2024-07-01,429853045.0
2024-08-01,385815658.0
2024-09-01,417634123.0
2024-10-01,388451915.0
2024-11-01,402365044.0
2024-12-01,301822337.0
2025-01-01,292729563.0
2025-02-01,303704651.0
2025-03-01,328929748.0
2025-04-01,427534816.0
2025-05-01,485839957.0
2025-06-01,498140707.0
2025-07-01,442414161.0
2025-08-01,432117294.0
2025-09-01,416787169.0
2025-10-01,414938105.0
2025-11-01,390481404.0
2025-12-01,290133269.0
2026-01-01,273816782.0
