Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOPPURAI-TP,1,DOMESTIC,78,61,4121,36.8
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOTALLA-TP,1,DOMESTIC,76,59,3604,16.86
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOTHAGUDEM(B)-TP,1,DOMESTIC,120,116,10778,65.28
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KOTHURU- TP,1,DOMESTIC,43,39,2656,17.06
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,KUNTALLA-TP,1,DOMESTIC,112,101,7178,46.12
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,LAXMI PURAM15-TP,1,DOMESTIC,94,84,3883,34.92
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,MADDIRALA-TP,1,DOMESTIC,121,109,9483,47.02
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,MANGALI THANDA - TP,1,DOMESTIC,129,109,10209,64.28
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,PERAIGUDEM,1,DOMESTIC,1446,1316,152820,2021.173
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,VAGODUGUDEM,1,DOMESTIC,137,121,5024,85.7
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,VEDANTAPURAM,1,DOMESTIC,175,147,9069,71.94
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,VOOTALAPALLY,1,DOMESTIC,474,393,31322,283.45
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,ALLIPALLY,1,DOMESTIC,238,202,17576,138.92
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,ANKAMPALEM,1,DOMESTIC,791,627,37751,336.473
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,BALARAJGUDEM,1,DOMESTIC,196,158,10029,92.844
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,CHEPURIGUDEM,1,DOMESTIC,136,123,11254,68.15
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,CHINAGOLLAGUDEM,1,DOMESTIC,189,175,13000,86.24
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,GANGADEVI GUPPA,1,DOMESTIC,68,56,4154,27.51
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,GANGADEVIPALLY,1,DOMESTIC,23,20,727,6.03
