Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GUNTURPALLY,1,DOMESTIC,71,52,4383,57.41
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,Ambedhkar nagar,1,DOMESTIC,1,1,77,1.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,BANDAUTHAPOOR,1,DOMESTIC,584,492,21868,341.01
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,BHAVANIKUNTA THANDA,1,DOMESTIC,36,36,1470,18.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,BOBBILIKUNTA,1,DOMESTIC,47,3,103,25.85
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,Bokkalagudem,1,DOMESTIC,7,7,298,7.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,CHENNARAM,1,DOMESTIC,674,554,32235,435.28
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,D.C.THANDA,1,DOMESTIC,332,257,42,183.7
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,DAMMANNAPET,1,DOMESTIC,1009,749,41545,713.443
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,DIVITIPALLI,1,DOMESTIC,177,146,6046,119.66
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,DUBBA THANDA,1,DOMESTIC,1,1,54,0.5
WARANGAL,RURAL WARANGAL,WARDHANNAPET,WARDHANNAPET,GUBBATI THANDA,1,DOMESTIC,82,82,6375,41.5
PEDDAPALLY,PEDDAPALLY,DHARMARAM,DHARMARAM,KATIKANAPALLY  (REC)          ,1,DOMESTIC,864,718,54021,611.906
PEDDAPALLY,PEDDAPALLY,DHARMARAM,DHARMARAM,KOTHAPALLY,1,DOMESTIC,370,355,28569,287.842
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,ELIGAID,LALAPALLY H/O ELIGAID  (REC)  ,1,DOMESTIC,435,381,31663,385.453
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,ELIGAID,LOKAPET  (REC),1,DOMESTIC,170,149,12307,110.96
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,ELIGAID,MALLAIAH PALLY,1,DOMESTIC,131,120,9047,88.926
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,ELIGAID,MUPPARITHOTA  (REC)           ,1,DOMESTIC,489,415,36003,310.792
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,ELIGAID,NARAYANAPALLY  H/O ELIGAID    ,1,DOMESTIC,256,230,18013,195.65
