Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIRMAL,BHAINSA,BHAINSA,KALLUR,BAMINI (B),1,DOMESTIC,216,174,13257,95.1
NIRMAL,BHAINSA,BHAINSA,KALLUR,BURGUPALLY,1,DOMESTIC,201,173,6679,87.93
NIRMAL,BHAINSA,BHAINSA,KALLUR,BURUGUPALLY,1,DOMESTIC,103,87,8932,63.726
NIRMAL,BHAINSA,BHAINSA,KALLUR,CHAKPALLY (NEW),1,DOMESTIC,387,323,34479,170.755
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,MOGILICHERLA,1,DOMESTIC,541,368,23873,298.66
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,NALLELLA,1,DOMESTIC,668,482,39499,258.423
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,NARAYANPUR,1,DOMESTIC,293,170,8202,102.77
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,NERADA,1,DOMESTIC,612,439,21589,290.39
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,PEDDA THANDA,1,DOMESTIC,347,326,14614,127.88
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,POLAMPALLY THANDA ,1,DOMESTIC,31,22,316,7.56
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,RAJOLE,1,DOMESTIC,1184,730,34849,416.98
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,RAMACHANDRAPUR,1,DOMESTIC,55,46,1408,14.08
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,REKULATHANDA,1,DOMESTIC,1,1,45,1.0
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,THATTUPALLI,1,DOMESTIC,373,250,8595,162.83
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,THATYA THANA,1,DOMESTIC,99,91,3689,47.3
MAHABUBABAD,MAHABUBABAD,KORIVI,KORIVI,THIRUMALAPUR,1,DOMESTIC,152,89,5547,65.68
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,EAST FORT,1,DOMESTIC,1741,1538,150162,1692.16
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,MIDDLE FORT,1,DOMESTIC,1384,1244,132028,1351.89
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-I,1,DOMESTIC,3052,2969,370768,5691.045
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-II,1,DOMESTIC,2315,2247,256141,3387.885
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,SHIVNAGAR-III,1,DOMESTIC,2092,1989,242602,2954.875
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,STHAMBHAMPALLI,1,DOMESTIC,1397,1341,132664,1902.615
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-I,1,DOMESTIC,888,784,72639,820.955
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,WEST FORT-II,1,DOMESTIC,1109,957,93425,1022.854
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,DHARMARAM,1,DOMESTIC,2273,1974,183231,2640.782
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,GARIB NAGAR,1,DOMESTIC,744,650,61384,824.34
MAHABUBABAD,MAHABUBABAD,MAHABUBABAD(T),MAHABUBABAD (RURAL),CHAMPLA THANDA,1,DOMESTIC,40,40,2377,18.74
MAHABUBABAD,MAHABUBABAD,MAHABUBABAD(T),MAHABUBABAD (RURAL),CHENGAPUR,1,DOMESTIC,712,432,30868,418.851
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,DHARAMTHANDA,1,DOMESTIC,102,49,3951,25.76
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,DHARAVATH THANDA,1,DOMESTIC,66,66,579,15.99
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,DURGABHAVANI THANDA,1,DOMESTIC,79,75,5798,19.72
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,HEMLA THANDA,1,DOMESTIC,136,135,9170,33.66
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,KANSAN THANDA,1,DOMESTIC,5,5,0,1.25
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,KASYA THANDA,1,DOMESTIC,47,32,1787,11.43
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,LASYA THANDA H/O MADANTHURTHY,1,DOMESTIC,40,40,638,10.75
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,LAXMIPUR,1,DOMESTIC,66,51,2569,24.706
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,MADANTHURTHY,1,DOMESTIC,387,294,12658,159.824
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,MOTHIYA THANDA,1,DOMESTIC,9,9,0,2.25
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,MUNAGALAVEEDU,1,DOMESTIC,544,446,20979,348.182
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,NANDYA THANDA,1,DOMESTIC,5,3,0,2.0
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,NARSIMHULA GUDEM,1,DOMESTIC,428,326,15932,182.589
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,PANTHULU THANDA H/O SRIRAMGIRI,1,DOMESTIC,9,3,137,3.25
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,PEDDATHANDDA,1,DOMESTIC,106,106,5049,25.44
MAHABUBABAD,THORRUR,NELLIKUDURU,MUNAGALAVEEDU,RAJULAKOTHAPALLI,1,DOMESTIC,574,465,22430,235.506
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,KOMMUGUDAM,1,DOMESTIC,97,74,6803,42.638
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,KOTHAPALLY,1,DOMESTIC,335,282,23622,220.75
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,MADARAM,1,DOMESTIC,745,473,28647,433.04
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,NARSAPUR,1,DOMESTIC,106,102,3697,38.8
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,NEELAIPALLY,1,DOMESTIC,51,30,1161,25.94
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,RAMPOOR,1,DOMESTIC,25,0,0,5.54
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,RECHNI,1,DOMESTIC,1093,853,63477,561.149
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,REPALLIWADA,1,DOMESTIC,256,177,18440,142.529
MANCHERIAL,BELLAMPALLY,BELLAMPALLY,TANDOOR,TANDOOR,1,DOMESTIC,3589,3030,347609,3113.041
MANCHERIAL,BELLAMPALLY,BELLAMPALLY RURAL,BHEEMINI,ANANDAPUR,1,DOMESTIC,33,31,2138,9.2
