Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,HARIYA THANDA,1,DOMESTIC,135,89,7078.0,81.19
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,JETHUYA THANDA,1,DOMESTIC,36,20,1137.0,18.42
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,K V BANJARA,1,DOMESTIC,159,106,7954.0,74.43
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,KORLA BODU THANDA,1,DOMESTIC,69,50,3023.0,51.9
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,KOTAPADU,1,DOMESTIC,368,342,29461.0,243.29
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,KURRA THANDA,1,DOMESTIC,38,31,2395.0,27.48
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,LACHIRAM THANDA,1,DOMESTIC,4,4,591.0,4.0
KHAMMAM,KHAMMAM,RAGUNADAPALEM,MANCHUKONDA,MALLEPALLY,1,DOMESTIC,95,70,8432.0,66.18
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,BURRAM GUTTA THANDA,1,DOMESTIC,51,0,0.0,18.48
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,CHAMPALA THANDA,1,DOMESTIC,54,0,0.0,27.714
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,CHOWTAPALLY,1,DOMESTIC,266,224,23750.0,114.674
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,DUBBA THANDA,1,DOMESTIC,75,62,6481.0,28.322
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,ERRAGADA THANDA,1,DOMESTIC,145,128,12826.0,55.49
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,ESWARAMADHARAM,1,DOMESTIC,338,300,35196.0,156.406
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,GAIGOLLAPALLY,1,DOMESTIC,234,212,21740.0,111.75
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,GORRELAPADU,1,DOMESTIC,283,0,0.0,115.914
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,HATYA THANDA,1,DOMESTIC,58,0,0.0,23.87
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,JAKKEPALLY,1,DOMESTIC,501,0,0.0,289.8
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,JUJJLARAOPETA,1,DOMESTIC,540,481,57154.0,299.19
KHAMMAM,KHAMMAM RURAL,KUSUMANCHI,PALERU,KOTHURU,1,DOMESTIC,73,70,8792.0,37.88
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,SAI GANESH NAGAR,1,DOMESTIC,409,407,80130.0,1231.0
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,TANGAMPADU,1,DOMESTIC,314,204,32601.0,172.4
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,THEERDALA,1,DOMESTIC,274,0,0.0,154.87
