Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,ISLAVATH THANDA,1,DOMESTIC,2,2,0,1.0
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,KALLEDA,1,DOMESTIC,722,563,34033,597.31
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,Munjalakunta thanda,1,DOMESTIC,6,6,42,4.55
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,Narayanapur,1,DOMESTIC,1,1,42,0.24
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,PARVATHAGIRI,1,DOMESTIC,1900,1410,83847,1528.126
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,Pedda thanda,1,DOMESTIC,1,1,0,0.5
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,RAVOOR,1,DOMESTIC,62,54,2064,48.39
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,ROLLAKAL,1,DOMESTIC,247,165,7021,153.08
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,PARVATHAGIRI,WADLAKONDA,1,DOMESTIC,531,441,23441,398.856
WARANGAL,RURAL WARANGAL,WARDHANNAPET,MYLARAM,BALAJITHANDA,1,DOMESTIC,1,1,70,1.0
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,GRAIN MARKET,1,DOMESTIC,647,518,71890,867.44
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,KRISHNA COLONY,1,DOMESTIC,307,292,42886,880.64
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,NIZAMPURA-I,1,DOMESTIC,769,740,73488,1147.04
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,NIZAMPURA-II,1,DOMESTIC,1326,1220,146542,1963.265
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,OSMAN GANJ,1,DOMESTIC,221,198,15922,328.19
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,PETROL PUMP,1,DOMESTIC,906,844,83981,1520.92
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,RAMOLLAWADA,1,DOMESTIC,1878,1819,174721,2811.73
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,STATION ROAD,1,DOMESTIC,569,488,71263,1149.185
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,MALLAPUR,1,DOMESTIC,477,412,25473,236.71
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,MUNEPALLI,1,DOMESTIC,413,319,18954,247.698
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,NARSAPUR(W),1,DOMESTIC,479,387,20371,223.846
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,PARPALLI,1,DOMESTIC,900,744,39243,449.58
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,PEECHARA,1,DOMESTIC,686,601,29051,381.58
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,POTHAPALLI(W),1,DOMESTIC,264,245,11217,128.049
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,POTTAPALLY(B),1,DOMESTIC,37,24,1175,14.48
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,RACHAPOOR,1,DOMESTIC,575,469,25456,246.79
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,THIRPALLI,1,DOMESTIC,223,183,8342,98.834
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,WADYAL,1,DOMESTIC,1028,898,60073,621.176
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,AKKAPUR,1,DOMESTIC,660,539,43723,465.422
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,RAKASIPET,1,DOMESTIC,4414,4146,404158,5556.263
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,SHAKKARNAGAR,1,DOMESTIC,2656,2487,207694,2784.17
