Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ADILABAD,ADILABAD,ECHODA,NEREDUGONDA,KUMARI,1,DOMESTIC,456,386,13637,201.82
ADILABAD,ADILABAD,ECHODA,NEREDUGONDA,KUNTALA (K),1,DOMESTIC,144,102,3926,58.08
ADILABAD,ADILABAD,ECHODA,NEREDUGONDA,WADDUR,1,DOMESTIC,886,678,29498,560.502
ADILABAD,ADILABAD,ECHODA,NEREDUGONDA,WANKIDI,1,DOMESTIC,273,190,5713,134.108
ADILABAD,ADILABAD,ECHODA,NEREDUGONDA,YAPALGUDA,1,DOMESTIC,65,55,1398,14.46
ADILABAD,ADILABAD,ECHODA,NEREDUGONDA,YESUGUDA,1,DOMESTIC,23,21,789,6.16
ADILABAD,ADILABAD,JAINATH,BELA,AVALPUR,1,DOMESTIC,430,327,14793,174.537
ADILABAD,ADILABAD,JAINATH,BELA,BALUGUDA,1,DOMESTIC,9,4,0,4.338
ADILABAD,ADILABAD,JAINATH,BELA,BEDHODA,1,DOMESTIC,348,293,14027,145.446
ADILABAD,ADILABAD,JAINATH,BELA,BELA,1,DOMESTIC,1763,1408,90923,1206.993
ADILABAD,ADILABAD,JAINATH,BELA,BHADI,1,DOMESTIC,193,172,7390,57.229
ADILABAD,ADILABAD,JAINATH,BELA,BHAVANIGUDA,1,DOMESTIC,103,84,3028,43.616
ADILABAD,ADILABAD,JAINATH,BELA,BOREGOAN,1,DOMESTIC,19,10,110,3.42
ADILABAD,ADILABAD,JAINATH,BELA,CHANDPALLI,1,DOMESTIC,106,75,6034,36.73
ADILABAD,ADILABAD,JAINATH,BELA,CHAPRALA,1,DOMESTIC,493,340,21493,164.08
ADILABAD,ADILABAD,JAINATH,BELA,CHINNUGUDA,1,DOMESTIC,13,9,1086,2.88
ADILABAD,ADILABAD,JAINATH,BELA,PONALA,1,DOMESTIC,168,130,4620,44.834
ADILABAD,ADILABAD,JAINATH,BELA,RAIPUR,1,DOMESTIC,1,1,0,0.25
ADILABAD,ADILABAD,JAINATH,BELA,RAMKHAM,1,DOMESTIC,50,34,956,13.46
ADILABAD,ADILABAD,JAINATH,BELA,RENIGUDA,1,DOMESTIC,32,27,868,7.44
