Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,KOTHAPALLI,1,DOMESTIC,366,357,15156.0,238.461
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,KUKKALAGUDUR,1,DOMESTIC,841,711,30262.0,433.156
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,MAREDIPALLY   ,1,DOMESTIC,374,314,14649.0,260.076
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,BRAHAMANPALLY-A,1,DOMESTIC,512,426,24011.0,327.38
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,DEVUNIPALLY,1,DOMESTIC,211,164,8393.0,147.57
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,GOPAIAHPALLI,1,DOMESTIC,171,133,6123.0,80.138
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,KANGARTHY (K),1,DOMESTIC,638,543,24160.0,414.349
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,KASULAPALLY,1,DOMESTIC,406,334,18382.0,310.313
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,KURMAPALLY,1,DOMESTIC,270,228,9894.0,187.73
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,NIMMANAPALLY,1,DOMESTIC,224,199,13060.0,174.83
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,NITTOR,1,DOMESTIC,558,488,23214.0,408.066
PEDDAPALLY,PEDDAPALLY,PEDDAPALLY,PEDDAPALLY RURALWEST,PALITHAM,1,DOMESTIC,318,203,9118.0,153.773
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MANDAPALLY,1,DOMESTIC,363,222,6636.0,169.38
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MARRIPALLY,1,DOMESTIC,178,143,4735.0,106.02
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,MOHAMMADAPUR,1,DOMESTIC,489,374,13527.0,342.436
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,NACHINAPALLY,1,DOMESTIC,781,639,24889.0,462.71
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,NARAYANA THANDA,1,DOMESTIC,123,113,1823.0,68.84
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,PILLIGUNDLA THANDA,1,DOMESTIC,112,83,1361.0,27.31
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,PONAKAL,1,DOMESTIC,331,241,10960.0,168.66
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,RAJYATHANDA,1,DOMESTIC,29,0,0.0,6.32
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,REKAMPALLY,1,DOMESTIC,230,193,6460.0,146.04
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,THIMMAMPET,1,DOMESTIC,671,462,18686.0,379.82
WARANGAL,NARSAMPET,NARSAMPET(TOWN,GIRNIBAVI,THOGARRI,1,DOMESTIC,540,401,13982.0,288.012
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,CHOWTAPALLI,1,DOMESTIC,686,470,16821.0,472.884
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,ENUGALLU,1,DOMESTIC,1020,828,29127.0,700.784
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GOPANPALLI,1,DOMESTIC,493,234,8354.0,315.48
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,GUNTURPALLY,1,DOMESTIC,54,35,1932.0,39.63
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,JAMALPOOR,1,DOMESTIC,198,158,6283.0,135.11
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,KONKAPAKA,1,DOMESTIC,673,402,13963.0,494.178
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,Mudethulathanda,1,DOMESTIC,1,1,60.0,0.5
WARANGAL,RURAL WARANGAL,PARVATHAGIRI,ENUGALLU,SOMARAM,1,DOMESTIC,239,168,5452.0,163.12
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,GARIB NAGAR,1,DOMESTIC,710,615,45885.0,738.93
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,GORREKUNTA,1,DOMESTIC,1590,1276,87121.0,1805.56
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,KEERTHI NAGAR,1,DOMESTIC,1626,1507,115420.0,2203.05
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,MOGILICHERLA,1,DOMESTIC,1714,1280,59430.0,1430.94
WARANGAL,WARANGAL,WARANGAL,GORREKUNTA,POTHARAJAPALLY,1,DOMESTIC,455,321,17251.0,339.19
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,BANDLISETTY,1,DOMESTIC,689,633,52113.0,1159.38
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,BEET BAZAR,1,DOMESTIC,223,196,17079.0,368.91
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,CHARBOWLI,1,DOMESTIC,1257,1144,107474.0,1677.0
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,G R GUTTA,1,DOMESTIC,988,853,64561.0,1121.77
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,GIRMAJIPET,1,DOMESTIC,2121,1932,171613.0,3225.34
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,GRAIN MARKET,1,DOMESTIC,597,486,67578.0,817.16
WARANGAL,WARANGAL,WARANGAL,STATION ROAD,KRISHNA COLONY,1,DOMESTIC,322,294,30569.0,888.16
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,JANPEERLU,1,DOMESTIC,111,103,7770.0,194.08
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,KASIBUGGA-I,1,DOMESTIC,5611,5361,450574.0,8927.532
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,KASIBUGGA-II,1,DOMESTIC,6063,5790,501076.0,8135.27
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,S R T COLONY,1,DOMESTIC,1363,1220,112168.0,1800.68
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,S.R.NAGAR,1,DOMESTIC,839,653,44069.0,816.26
WARANGAL,WARANGAL,WARANGAL,A.J.MILLS,T R T COLONY,1,DOMESTIC,497,468,47734.0,689.96
WARANGAL,WARANGAL,WARANGAL,FORT WARANGAL,A S REDDY NAGAR,1,DOMESTIC,1049,950,67094.0,881.35
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,GOLIWADA,1,DOMESTIC,478,416,26774.0,290.814
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,MADDRIALA,1,DOMESTIC,264,236,12806.0,176.646
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,MURMUR,1,DOMESTIC,756,650,33374.0,599.739
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,POTYALA,1,DOMESTIC,446,392,19162.0,264.163
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,RAYADANDI,1,DOMESTIC,818,695,50529.0,544.395
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,SOMANPALLY,1,DOMESTIC,241,219,9141.0,117.347
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,VEESAMPET,1,DOMESTIC,169,156,7280.0,68.586
PEDDAPALLY,MANTHANI,RAMAGUNDAM,ANTHERGAON,YELLAMPALLY,1,DOMESTIC,330,290,14215.0,251.712
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,BASANTHNAGAR NEW,1,DOMESTIC,1300,1252,76067.0,864.52
PEDDAPALLY,MANTHANI,RAMAGUNDAM,BASANTHNAGAR,BODAGUTTAPALLY,1,DOMESTIC,810,719,49828.0,844.391
