Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,REDLA WADA,1,DOMESTIC,998,776,23706,481.004
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,1,DOMESTIC,2166,1666,136684,2069.799
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,1,DOMESTIC,511,298,23006,357.33
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,MUSALAMMAKUNTA,1,DOMESTIC,432,419,30532,655.02
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,PAIDEPALLI,1,DOMESTIC,3004,1997,159256,2995.083
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,REDDYPALEM,1,DOMESTIC,1180,1037,91091,1861.693
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,1,DOMESTIC,1056,974,78699,1422.15
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,1,DOMESTIC,5024,4232,366598,6153.608
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,1,DOMESTIC,8274,7979,931785,14568.26
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,MANDI BAZAR,1,DOMESTIC,747,689,79023,1098.63
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,MADDIVARIGUDEM,1,DOMESTIC,208,140,17379,112.45
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,MANGALIGUDEM,1,DOMESTIC,1003,629,84319,557.255
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,PALLEGUDEM,1,DOMESTIC,521,434,61801,399.175
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,PITTALAGUDEM,1,DOMESTIC,59,0,0,30.53
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,POLEPALLI,1,DOMESTIC,550,385,61031,422.25
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,POLISETTIGUDEM,1,DOMESTIC,281,220,26619,135.966
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,RAJIV GRUHAKALPA,1,DOMESTIC,1625,1556,145956,2666.34
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,REDDYPALLI,1,DOMESTIC,237,0,0,243.467
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,REGULA THANDA,1,DOMESTIC,32,0,0,18.27
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,PALLEGUDEM,SAI ADITYA TOWN SHIP,1,DOMESTIC,169,168,28913,520.0
WARANGAL,NARSAMPET,NEKKONDA,NEKKONDA,APPALARAOPET,1,DOMESTIC,588,438,18427,260.11
