Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DHANNURA (P),1,DOMESTIC,2,0,0.0,0.28
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DHANOORA (K),1,DOMESTIC,168,0,0.0,34.57
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MALKAPOOR,1,DOMESTIC,124,0,0.0,33.206
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MEESANPALLI,1,DOMESTIC,144,0,0.0,81.814
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,TANDOOR,1,DOMESTIC,876,679,76269.0,355.879
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,WODI,1,DOMESTIC,249,0,0.0,83.308
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,J P N ROAD,1,DOMESTIC,362,345,47481.0,489.53
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,KONDURIVARI STREET,1,DOMESTIC,258,245,29012.0,398.06
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,M G M ROAD,1,DOMESTIC,1141,1077,141443.0,1388.925
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,MATWADA,1,DOMESTIC,1865,1745,226594.0,2416.932
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,PEPAIAHPET CHAMAN,1,DOMESTIC,2151,2069,250342.0,1997.546
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,PINNAVARI STREET,1,DOMESTIC,741,714,94478.0,1098.646
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,RAMA TALKIES,1,DOMESTIC,1177,1129,152457.0,1924.88
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,HAJIPOOR,1,DOMESTIC,109,82,9989.0,37.594
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,KOTTAPALLY,1,DOMESTIC,66,0,0.0,20.478
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,DHAMANGUDA,1,DOMESTIC,77,63,4731.0,17.102
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,DHAMPOOR,1,DOMESTIC,32,19,2566.0,6.765
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,DHARMAGUDA,1,DOMESTIC,33,33,1459.0,7.92
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,DONGANGAON,1,DOMESTIC,149,103,18665.0,47.634
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GARKAMPET,1,DOMESTIC,36,36,3275.0,10.92
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GONDAHARKAPUR,1,DOMESTIC,81,0,0.0,18.379
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GOPULAPUR,1,DOMESTIC,22,14,1316.0,7.499
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GUDIHATHNOOR,1,DOMESTIC,1728,1491,125418.0,852.757
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,POCHARAM,1,DOMESTIC,355,0,0.0,197.275
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,REPALLEWADA,1,DOMESTIC,58,57,5122.0,19.668
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MALSOOR THANDA,1,DOMESTIC,231,218,29272.0,65.738
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MITTAPALLY,1,DOMESTIC,665,575,84416.0,259.422
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MUDDUNURU,1,DOMESTIC,497,443,55822.0,172.282
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,NARAYANA BANZAR,1,DOMESTIC,122,110,14419.0,34.486
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ANNASAGAR,1,DOMESTIC,372,0,0.0,122.274
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,DALMALKAPALLY,1,DOMESTIC,81,54,4785.0,29.004
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SHIVAPOOR,1,DOMESTIC,107,0,0.0,29.948
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,LINGAMPALLI (K),1,DOMESTIC,211,182,21732.0,132.254
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,BILLUPADU,1,DOMESTIC,541,0,0.0,219.733
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GANDHINAGAR THANDA,1,DOMESTIC,71,0,0.0,22.859
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GANGADEVIPADU,1,DOMESTIC,49,0,0.0,17.991
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GOLLA GUDEM,1,DOMESTIC,344,0,0.0,136.868
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,GOPALAPETA,1,DOMESTIC,283,0,0.0,104.825
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MALLAIPALLY,1,DOMESTIC,109,100,9754.0,38.83
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MOULANKHED,1,DOMESTIC,64,61,5919.0,22.236
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,YERRARAM,1,DOMESTIC,90,0,0.0,38.568
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,VENGANNAPET,1,DOMESTIC,383,345,57066.0,190.169
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,VENKATRAMTHANDA,1,DOMESTIC,74,69,12931.0,21.012
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,YATHIRAJAPURAM,1,DOMESTIC,11,0,0.0,12.44
NIRMAL,NIRMAL,NIRMAL,NIRMAL - TOWN,NIRMALTOWN- I,1,DOMESTIC,17773,15443,1643059.0,12450.096
NIRMAL,NIRMAL,NIRMAL,NIRMAL-TOWN2,NIRMAL (T),1,DOMESTIC,15555,15047,1697219.0,15906.109
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,TIMMAREDDIPET,1,DOMESTIC,246,209,24739.0,91.692
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,1,DOMESTIC,3932,3454,268237.0,2357.483
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,VENKAMPALLI,1,DOMESTIC,151,0,0.0,58.414
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANGAMIPALLI,1,DOMESTIC,193,0,0.0,83.952
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LAXMAPOOR,1,DOMESTIC,128,108,13144.0,40.33
NIRMAL,NIRMAL,NIRMAL,SOAN,VELMAL (LOCAL),1,DOMESTIC,286,225,34496.0,76.817
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,ANJANI,1,DOMESTIC,112,0,0.0,27.97
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,BANSAPALLY,1,DOMESTIC,364,267,38424.0,93.366
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,CHARLAPALLY,1,DOMESTIC,38,0,0.0,9.25
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,CHINTALKUNTA,1,DOMESTIC,13,0,0.0,3.12
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,DARYPUR,1,DOMESTIC,131,79,10527.0,34.19
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MATOOR,1,DOMESTIC,129,95,11558.0,41.038
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,Palleboguda thanda,1,DOMESTIC,16,0,0.0,5.328
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAGAVAPALLI,1,DOMESTIC,248,0,0.0,89.551
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,RUDRARUM,1,DOMESTIC,263,0,0.0,74.078
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SOMVARPET,1,DOMESTIC,214,180,18939.0,87.9
NIRMAL,NIRMAL,NIRMAL,SOAN,SOAN,1,DOMESTIC,1602,1266,104442.0,549.464
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,MANJULAPUR,1,DOMESTIC,1737,1584,124391.0,788.106
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,MEDIPALLY,1,DOMESTIC,472,376,59327.0,135.924
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,VELLUTLA,1,DOMESTIC,547,0,0.0,238.358
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,WADALPARTHI,1,DOMESTIC,244,209,23815.0,82.317
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANKAMPALLY(K),1,DOMESTIC,40,19,2546.0,12.634
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,AALOOR,1,DOMESTIC,841,662,92945.0,250.341
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,ADELI,1,DOMESTIC,184,146,20055.0,49.664
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,ADIVASIGUDA,1,DOMESTIC,32,32,2874.0,8.32
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,ANTALWAI,1,DOMESTIC,15,15,1121.0,3.6
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BANDIREVUTANDRA,1,DOMESTIC,36,36,3018.0,8.64
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BEERVELLY,1,DOMESTIC,885,0,0.0,272.667
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MAL THUMMEDA,1,DOMESTIC,572,412,46127.0,224.8
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,NAGIREDDIPET,1,DOMESTIC,1533,1258,87376.0,763.742
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JAAM,1,DOMESTIC,1440,0,0.0,405.998
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JOULA,1,DOMESTIC,259,0,0.0,73.816
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KANKATI,1,DOMESTIC,311,0,0.0,83.07
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KOUTLA(B),1,DOMESTIC,1055,868,131482.0,305.423
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KUPTI,1,DOMESTIC,93,70,5699.0,25.14
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ADVILINGAL,1,DOMESTIC,377,319,34925.0,179.31
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BHIKNOOR,1,DOMESTIC,320,0,0.0,110.552
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,GANDHIMASANIPET,1,DOMESTIC,313,2,763.0,176.233
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SABDALPOOR,1,DOMESTIC,57,53,6396.0,18.37
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,JANKAMPALLY(J),1,DOMESTIC,344,308,29120.0,115.452
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SARANGAPUR,1,DOMESTIC,1174,950,64821.0,368.692
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SAVANGA THANDA,1,DOMESTIC,23,0,0.0,6.56
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SIRIPALLY,1,DOMESTIC,25,11,1652.0,6.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SWARNA,1,DOMESTIC,454,401,64303.0,164.876
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,THANDRA(G),1,DOMESTIC,356,0,0.0,106.42
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,VANJAR,1,DOMESTIC,359,252,34846.0,106.422
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LINGAREDDIPET,1,DOMESTIC,867,662,73116.0,307.29
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,POSANPALLY,1,DOMESTIC,54,47,4640.0,18.126
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAMAKKAPALLI,1,DOMESTIC,77,59,6957.0,40.668
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,L3,1,DOMESTIC,4508,4180,401111.0,3641.84
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,M1,1,DOMESTIC,8259,7275,728880.0,7643.176
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,BORGAON (P),1,DOMESTIC,40,0,0.0,17.07
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,L7,1,DOMESTIC,3735,3720,458871.0,5710.145
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,M2,1,DOMESTIC,4258,3896,391078.0,4981.208
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,THIMMAPOOR,1,DOMESTIC,153,0,0.0,46.364
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,VENKATAPOOR,1,DOMESTIC,72,0,0.0,39.756
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,KOTTAL,1,DOMESTIC,29,26,2910.0,7.504
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,AREPALLI,1,DOMESTIC,1484,1242,124237.0,766.77
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,1,DOMESTIC,2089,1722,190559.0,1407.019
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,1,DOMESTIC,472,299,21344.0,182.49
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,MUSALAMMAKUNTA,1,DOMESTIC,218,217,20526.0,202.02
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,PAIDEPALLI,1,DOMESTIC,2543,1649,154266.0,1442.451
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MASANPALLI (M),1,DOMESTIC,219,0,0.0,67.166
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,1,DOMESTIC,804,739,65851.0,752.2
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,1,DOMESTIC,4453,4014,382415.0,3648.998
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,1,DOMESTIC,7506,7296,981129.0,9347.04
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,MANDI BAZAR,1,DOMESTIC,707,660,81989.0,723.49
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,BONDIVAGU,1,DOMESTIC,1294,1246,154912.0,2030.591
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ALMAJIPOOR,1,DOMESTIC,115,0,0.0,29.53
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BRAHAMANPALLI,1,DOMESTIC,104,0,0.0,28.364
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,RATHNAPOOR,1,DOMESTIC,40,36,4499.0,21.648
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,GOLI LINGAL,1,DOMESTIC,274,0,0.0,109.876
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SATHOLI,1,DOMESTIC,225,187,17540.0,80.714
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,KANNAREDDI,1,DOMESTIC,77,62,5839.0,29.514
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,BANDAPATAGUDA,1,DOMESTIC,10,0,0.0,1.8
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,BODDIGUDA,1,DOMESTIC,5,0,0.0,1.17
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,BURSANPATAR,1,DOMESTIC,51,0,0.0,12.39
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,CHITTABATTA,1,DOMESTIC,15,0,0.0,3.6
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DASNAPUR,1,DOMESTIC,207,0,0.0,62.125
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DEVAPOOR,1,DOMESTIC,201,0,0.0,63.247
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DHANNURA (B),1,DOMESTIC,438,0,0.0,116.884
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,KOLARI,1,DOMESTIC,575,500,72349.0,155.66
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,LENDI GUDA,1,DOMESTIC,12,12,715.0,2.88
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,LINGAPOOR,1,DOMESTIC,194,166,32959.0,55.109
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,MACHAPOOR,1,DOMESTIC,187,159,20990.0,53.031
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,MALKAPUR,1,DOMESTIC,113,105,9307.0,28.094
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,MAMIDIGUDA,1,DOMESTIC,38,0,0.0,7.738
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,ANNARUGUDEM,1,DOMESTIC,1528,0,0.0,589.298
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,SURYA GUDA,1,DOMESTIC,63,56,7643.0,15.575
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,TAKKIGUDA,1,DOMESTIC,105,92,11080.0,27.532
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,WALGONDA HEERAPUR,1,DOMESTIC,20,16,226.0,4.8
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,YEMAIKUNTA,1,DOMESTIC,244,201,34461.0,72.828
ADILABAD,UTNOOR,UTNOOR,NARNOOR,ADMIYAN,1,DOMESTIC,84,0,0.0,25.0
ADILABAD,UTNOOR,UTNOOR,NARNOOR,ARJUNI,1,DOMESTIC,44,0,0.0,19.016
ADILABAD,UTNOOR,UTNOOR,NARNOOR,ARJUNI KOLAMGUDA,1,DOMESTIC,27,21,1905.0,7.64
ADILABAD,UTNOOR,UTNOOR,NARNOOR,BABJHURI,1,DOMESTIC,112,0,0.0,34.48
ADILABAD,UTNOOR,UTNOOR,NARNOOR,BALAPUR,1,DOMESTIC,67,36,5759.0,21.866
ADILABAD,UTNOOR,UTNOOR,NARNOOR,BAVANIGUDA,1,DOMESTIC,21,21,1857.0,5.04
ADILABAD,UTNOOR,UTNOOR,NARNOOR,BHEEMPUR,1,DOMESTIC,267,0,0.0,68.25
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,NUTHANKAL,1,DOMESTIC,567,3,717.0,194.916
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,PINAPAKA-B,1,DOMESTIC,657,0,0.0,267.531
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,RAMANUJAVARAM,1,DOMESTIC,382,343,52485.0,167.379
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,RANGAM BANZARA,1,DOMESTIC,306,274,35473.0,125.668
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,RANGAPURAM,1,DOMESTIC,109,103,17448.0,36.232
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,VENKATAPURAM-A,1,DOMESTIC,105,92,14091.0,37.208
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,AMBEDKAR NAGAR,1,DOMESTIC,113,0,0.0,37.613
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,ANJANAPURAM,1,DOMESTIC,350,0,0.0,178.01
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,REDDY GUDEM,1,DOMESTIC,268,0,0.0,91.623
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,ANJEE,1,DOMESTIC,139,132,16995.0,44.4
ADILABAD,UTNOOR,UTNOOR,NARNOOR,JAMBODA,1,DOMESTIC,54,11,536.0,36.03
ADILABAD,UTNOOR,UTNOOR,NARNOOR,JHURI,1,DOMESTIC,32,0,0.0,12.29
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KAIRDAT WADA,1,DOMESTIC,38,0,0.0,8.28
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KALAMAGUDA,1,DOMESTIC,39,39,1736.0,9.36
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KAMPOOR,1,DOMESTIC,31,0,0.0,7.44
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KHADKI,1,DOMESTIC,65,0,0.0,27.004
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KHANDOW,1,DOMESTIC,190,0,0.0,45.4
ADILABAD,UTNOOR,UTNOOR,NARNOOR,KOLAMA,1,DOMESTIC,61,60,3951.0,18.09
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,JAGANNADHAPURAM,1,DOMESTIC,168,0,0.0,48.715
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,KOTHA VENKATAGIRI,1,DOMESTIC,208,0,0.0,84.881
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,LAXMI NAGAR,1,DOMESTIC,10,0,0.0,2.36
KHAMMAM,SATHUPALLY,THALLADA,THALLADA,MALLARAM,1,DOMESTIC,1019,966,91692.0,651.584
