Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,KESHAVAPATNAM,1,DOMESTIC,28,28,1362,9.542
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,KOTHAGUDA,1,DOMESTIC,7,6,608,1.68
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,LAXMIPUR,1,DOMESTIC,232,185,11998,105.376
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PAIDIGUDEM,1,DOMESTIC,161,139,5619,53.16
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PARNASALA,1,DOMESTIC,175,134,12222,100.854
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PATHA BANDARIGUDEM,1,DOMESTIC,82,69,3835,30.24
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PATHA JINNELAGUDEM,1,DOMESTIC,170,141,12218,55.88
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PATHIPAKA(DUM),1,DOMESTIC,83,77,3443,28.2
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PEDABANDIREVULA,1,DOMESTIC,113,80,4425,29.26
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PEDAKAMALAPURAM,1,DOMESTIC,193,134,6751,100.98
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PEDANALLABALLI,1,DOMESTIC,355,272,17185,190.12
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PEERAI GUDEM,1,DOMESTIC,102,77,4422,37.85
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PIDAKULAMADUGU,1,DOMESTIC,81,70,3559,27.37
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,POWLOORIPETA,1,DOMESTIC,76,49,2298,29.81
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PRAGALLAPALLY,1,DOMESTIC,94,78,4916,42.44
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,RAJUPETA,1,DOMESTIC,52,40,2620,31.98
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,RAMACHANDRAPURAM (D),1,DOMESTIC,68,50,2852,19.84
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,RAMACHENDRUNIPETA,1,DOMESTIC,135,125,6722,50.5
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,PERAIGUDEM,1,DOMESTIC,1330,1216,139135,1745.173
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,VAGODUGUDEM,1,DOMESTIC,102,85,6646,49.94
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,VEDANTAPURAM,1,DOMESTIC,170,143,9305,62.94
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,ASWARAOPET,VOOTALAPALLY,1,DOMESTIC,463,384,27484,252.1
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,ALLIPALLY,1,DOMESTIC,231,197,13605,128.9
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,ANKAMPALEM,1,DOMESTIC,783,619,29863,331.713
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,ASWARAOPETA,DAMMAPETA,BALARAJGUDEM,1,DOMESTIC,192,154,12501,88.844
