Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GONDAHARKAPUR,7,GENERAL,1,0,0.0,0.2
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BHIKNOOR,7,GENERAL,2,0,0.0,0.52
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MALLAIPALLY,7,GENERAL,1,1,0.0,1.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,DHARMAREDDI,7,GENERAL,2,0,0.0,0.52
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAGAVAPALLI,7,GENERAL,2,0,0.0,0.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SATHOLI,7,GENERAL,1,1,0.0,1.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,ANJEE,7,GENERAL,1,0,0.0,0.14
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,DEVANPALLI,7,GENERAL,1,1,0.0,1.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MAL THUMMEDA,7,GENERAL,4,4,423.0,25.74
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ADVILINGAL,7,GENERAL,1,1,16.0,0.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,TIMMAREDDIPET,7,GENERAL,4,3,10.0,3.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,NAGIREDDIPET,7,GENERAL,19,17,1329.0,52.807
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LAXMAPOOR,7,GENERAL,2,2,0.0,1.77
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MASANPALLI (M),7,GENERAL,1,0,0.0,0.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANKAMPALLY(K),7,GENERAL,1,1,0.0,1.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ALMAJIPOOR,7,GENERAL,1,0,0.0,1.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,7,GENERAL,60,40,6314.0,197.202
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,JANKAMPALLY(J),7,GENERAL,2,2,62.0,0.48
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LINGAREDDIPET,7,GENERAL,6,3,113.0,3.04
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MATHMAL,7,GENERAL,2,0,0.0,3.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,GOLI LINGAL,7,GENERAL,2,0,0.0,1.198
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAMAKKAPALLI,7,GENERAL,1,1,0.0,0.24
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,WADALPARTHI,7,GENERAL,1,1,10.0,0.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SOMVARPET,7,GENERAL,1,1,0.0,1.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,VELLUTLA,7,GENERAL,5,0,0.0,4.26
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,GANDHIMASANIPET,7,GENERAL,7,2,949.0,56.52
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,KOTTAL,7,GENERAL,1,1,0.0,1.0
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),GURTHUR,7,GENERAL,7,4,1382.0,19.92
MAHABUBABAD,THORRUR,THORRUR,THORRUR(T),HACHU THANDA,7,GENERAL,1,0,0.0,1.0
KHAMMAM,KHAMMAM,KHAMMAM TOWN 2,KHAMMAM TOWN-4,SEETARAMPURAM,7,GENERAL,2,2,45.0,3.0
NIRMAL,NIRMAL,NIRMAL,SOAN,NEW VELMAL,7,GENERAL,4,2,287.0,4.4
